bioID,firstName,middleName,lastName,nameGiven,fullGivenName,nameSuffix,nameNick,pos,firstseason,lastseason,height,weight,college,collegeOther,birthDate,birthCity,birthState,birthCountry,highSchool,hsCity,hsState,hsCountry,deathDate,race
spainke01,John,Kenneth,Spain, , , ,Ken,C,0,0,81.00,225,Houston, ,1946-10-06,Houston,TX,USA,Austin,Houston,TX,USA,1990-10-15,W
nelsoro01,Ron, ,Nelson, , , , ,G,0,0,74.00,175,New Mexico, ,1946-10-07, , , ,Artesia,Artesia,NM,USA,0000-00-00,W
harlisk01,Jules,Peter,Harlicka, , , ,Skip,G,0,0,73.00,178,South Carolina, ,1946-10-14,Trenton,NJ,USA,Notre Dame,Trenton,NJ,USA,0000-00-00,W
butlemi01,Michael,Edward,Butler, , , ,Mike,G,0,0,74.00,170,Memphis State, ,1946-10-22,Memphis,TN,USA,Kingsbury,Memphis,TN,USA,0000-00-00,W
combsgl01,Glen,Courtney,Combs, , , ,The Kentucky Rifle,G,0,0,74.00,185,Virginia Tech, ,1946-10-30,Hazard,KY,USA,Carr Creek,Carr Creek,KY,USA,0000-00-00,W
donovbi01,William,John,Donovan, , , ,Billy- Billy the Kid,G,0,0,71.00,171,Providence, ,1965-05-30,Rockville Centre,NY,USA,St. Agnes,Rockville Centre,NY,USA,0000-00-00,W
gaineco01,Corey,Yasuto,Gaines, , , , ,G,0,0,75.00,195,Loyola Marymount,UCLA,1965-06-01,Los Angeles,CA,USA,St. Bernard,Playa del Ray,CA,USA,0000-00-00,B
perryti01,Timothy,D.,Perry, , , ,Tim,F-C,0,0,81.00,200,Temple, ,1965-06-04,Freehold,NJ,USA,Freehold,Freehold,NJ,USA,0000-00-00,B
critewi01,Winston,Arnel,Crite, , , , ,F,0,0,79.00,233,Texas A&M, ,1965-06-20,Bakersfield,CA,USA,South,Bakersfield,CA,USA,0000-00-00,B
johnska01,Kannard, ,Johnson, , , , ,F,0,0,81.00,220,Western Kentucky, ,1965-06-24,Cincinnati,OH,USA,Taft,Cincinnati,OH,USA,0000-00-00,B
richmmi01,Mitchell,James,Richmond, , ,III,Mitch- Rock- Hammer,G,0,0,77.00,215,Kansas State,Moberly Area JC,1965-06-30,Fort Lauderdale,FL,USA,Boyd Anderson,Fort Lauderdale,FL,USA,0000-00-00,B
grantha01,Harvey, ,Grant, , , ,The General,F,0,0,80.00,195,Oklahoma,Clemson / Independence JC,1965-07-04,Augusta,GA,USA,Hancock Central,Sparta,GA,USA,0000-00-00,B
grantho01,Horace,Junior,Grant, , , ,The General,F-C,0,0,82.00,215,Clemson, ,1965-07-04,Augusta,GA,USA,Hancock Central,Sparta,GA,USA,0000-00-00,B
brownra01,Raymond, ,Brown, , , , ,F,0,0,80.00,220,Idaho,Mississippi State,1965-07-05,Atlanta,GA,USA,Sylvan,Atlanta,GA,USA,0000-00-00,B
copella01,Lanard, ,Copeland, , , , ,G,0,0,78.00,190,Georgia State, ,1965-07-16,Atlanta,GA,USA,Booker T. Washington (DNP),Atlanta,GA,USA,0000-00-00,B
